Experiment,val_avgfoldacc,val_mIOU,val_pacc,val_f1,test_mIOU,test_pacc,test_f1
Augm0,0.9713,0.26904,0.48854,0.3412,0.21766,0.43482,0.29114
Augm1,0.968,0.26274,0.48152,0.33234,0.20854,0.43124,0.27938
Augm2,0.96534,0.27326,0.49396,0.34464,0.21272,0.44422,0.28346
Augm3,0.9645,0.27502,0.4933,0.34676,0.20148,0.43074,0.268
Base,0.95796,0.2259,0.43696,0.29082,0.16984,0.4138,0.2278
Filtered,0.97892,0.2325,0.45286,0.2957,0.17258,0.40682,0.23034
Background,0.97554,0.27686,0.47822,0.35224,0.20914,0.39986,0.28394
Augm4,0.9604,0.26324,0.48816,0.33136,0.19664,0.42872,0.26258
Augm5,0.9462,0.28254,0.50218,0.35572,0.216,0.44112,0.28786
Rebalance0,0.96882,0.2739,0.50438,0.34348,0.21956,0.4487,0.29066
Rebalance1,0.9706666667,0.2577666667,0.4694,0.3301666667,0.1945666667,0.4283,0.2605333333
